session,clip_id,manual_label,over,event_type,n_frames,flow_mean,flow_std,flow_p50,flow_p95,flow_peak_count,diff_mean,diff_std,diff_p50,diff_p95,diff_peak_count,strip_mean,strip_std,strip_p95
20260503_200806,d001,real_delivery,7.1,DOT,51,1.3732653984836503,0.7787751328970858,1.2288082838058472,2.9808915853500366,11,5.112227430865963,3.5305131897937696,4.317629179331307,10.03296210106383,6,0.4896989889705883,0.2986531877629155,1.201640625
20260503_200806,d002,real_delivery,7.2,FOUR,51,4.402447189770493,2.0033858073281756,4.942018985748291,7.065431118011475,3,11.711112104416236,6.216302418529719,11.850033244680851,20.750916603343462,7,0.7999165134803923,0.5962391570860431,1.99072265625
20260503_200806,d003,real_delivery,7.3,1_RUNS,50,3.1068712800741194,2.5919038021604677,1.901340126991272,8.532886123657226,13,9.661062310030395,7.116579496419164,6.827367496200608,23.49833301671731,10,0.7221171874999999,0.8186295918737645,2.3544824218749993
20260503_200806,d004,real_delivery,7.4,1_RUNS,51,5.803958626354442,3.344317759979916,5.148379802703857,12.430054664611816,9,13.048607075809045,4.439781821278146,14.421927241641338,18.842458206686928,3,1.2071515012254903,0.39647482487857927,1.77673828125
20260503_200806,d005,real_delivery,7.5,DOT,50,6.188048077076673,3.731044023870878,6.937788248062134,12.412882280349729,6,10.850487082066868,9.117550152308112,6.664789133738601,30.390164798632217,12,3.81182421875,4.903226017424135,15.305923828124984
20260503_200806,d006,real_delivery,8.0,DOT,51,4.979496163480422,2.6305792268131056,4.478601932525635,9.679868698120117,12,17.072741876005722,10.551398966660098,13.486711626139817,36.26648461246201,15,2.842349111519608,5.062900282610776,14.678671875
20260503_200806,d007,real_delivery,8.1,DOT,51,3.3401420373542634,1.8087842366352336,2.9437482357025146,6.799628496170044,11,11.45048581932773,6.282186906076585,11.248062310030395,18.229974829027356,3,0.5392777267156862,0.6430289724832177,1.793671875
20260503_200806,d008,real_delivery,8.2,1_RUNS,50,4.417740254402161,2.2188756429842877,3.5751816034317017,8.7960352897644,12,11.027362556990882,5.396939307526815,13.544338905775076,17.353836673632216,2,0.9595898437500001,0.6564603533892199,1.7288066406249998
20260503_200806,d009,real_delivery,8.3,1_RUNS,50,2.655379196703434,2.524797870139486,2.1210938692092896,7.461763739585875,12,9.340570383738601,10.060692708340875,5.452726063829788,36.219360039893616,7,2.0027203125,4.162748718116805,13.825748046874986
20260503_200806,d010,real_delivery,8.4,WICKET,51,3.9835985922345927,2.1089894258627684,3.0398502349853516,8.208468437194824,12,16.226578703289828,6.415761300737754,14.781587196048632,26.751963810790272,11,3.882332261029412,9.258450736945075,13.82697265625
