session,clip_id,manual_label
live_b0cdc9f9,rd_000,real_delivery
live_b0cdc9f9,rd_001,real_delivery
live_b0cdc9f9,rd_002,real_delivery
live_b0cdc9f9,rd_003,real_delivery
live_b0cdc9f9,rd_004,real_delivery
live_b0cdc9f9,rd_005,real_delivery
live_b0cdc9f9,rd_006,real_delivery
live_b0cdc9f9,rd_007,real_delivery
live_b0cdc9f9,rd_008,real_delivery
live_b0cdc9f9,rd_009,real_delivery
live_b0cdc9f9,rd_010,real_delivery
live_b0cdc9f9,rd_011,real_delivery
live_b0cdc9f9,rd_012,real_delivery
live_b0cdc9f9,rd_013,real_delivery
live_b0cdc9f9,rd_014,real_delivery
live_b0cdc9f9,rd_015,real_delivery
live_b0cdc9f9,rd_016,real_delivery
live_b0cdc9f9,rd_017,real_delivery
live_b0cdc9f9,rd_018,real_delivery
live_b0cdc9f9,rd_019,real_delivery
live_b0cdc9f9,rd_020,real_delivery
live_b0cdc9f9,rd_021,real_delivery
live_b0cdc9f9,rd_022,real_delivery
live_b0cdc9f9,rd_023,real_delivery
live_b0cdc9f9,rd_024,real_delivery
live_b0cdc9f9,rd_025,real_delivery
live_b0cdc9f9,rd_026,real_delivery
live_b0cdc9f9,rd_027,real_delivery
live_b0cdc9f9,rd_028,real_delivery
live_b0cdc9f9,rd_029,real_delivery
live_b0cdc9f9,gap_000_ad,ad
live_b0cdc9f9,gap_001_ad,ad
live_b0cdc9f9,gap_002_replay,replay
live_b0cdc9f9,gap_003_replay,replay
live_b0cdc9f9,gap_004_ad,ad
live_b0cdc9f9,gap_005_ad,ad
live_b0cdc9f9,gap_006_ad,ad
live_b0cdc9f9,gap_007_ad,ad
live_b0cdc9f9,gap_008_ad,ad
live_b0cdc9f9,gap_009_replay,replay
live_b0cdc9f9,gap_010_replay,replay
live_b0cdc9f9,gap_011_replay,replay
live_b0cdc9f9,gap_012_replay,replay
live_b0cdc9f9,gap_013_replay,replay
live_b0cdc9f9,gap_014_replay,replay
live_b0cdc9f9,gap_015_replay,replay
live_b0cdc9f9,gap_016_replay,replay
live_b0cdc9f9,gap_017_replay,replay
live_b0cdc9f9,gap_018_replay,replay
live_b0cdc9f9,gap_019_replay,replay
live_b0cdc9f9,gap_020_ad,ad
live_b0cdc9f9,gap_021_replay,replay
live_b0cdc9f9,gap_022_replay,replay
live_b0cdc9f9,gap_023_replay,replay
live_b0cdc9f9,gap_024_ad,ad
live_b0cdc9f9,gap_025_replay,replay
live_b0cdc9f9,gap_026_ad,ad
live_b0cdc9f9,gap_027_ad,ad
live_b0cdc9f9,gap_028_ad,ad
live_b0cdc9f9,gap_029_replay,replay
live_b0cdc9f9,gap_030_replay,replay
live_b0cdc9f9,gap_031_replay,replay
live_b0cdc9f9,gap_032_replay,replay
live_b0cdc9f9,gap_033_ad,ad
live_b0cdc9f9,gap_034_ad,ad
live_b0cdc9f9,gap_035_replay,replay
live_b0cdc9f9,gap_036_replay,replay
live_b0cdc9f9,gap_037_replay,replay
live_b0cdc9f9,gap_038_ad,ad
live_b0cdc9f9,gap_039_replay,replay
live_b0cdc9f9,gap_040_replay,replay
live_b0cdc9f9,gap_041_ad,ad
live_b0cdc9f9,gap_042_ad,ad
live_b0cdc9f9,gap_043_ad,ad
live_b0cdc9f9,gap_044_ad,ad
live_b0cdc9f9,gap_045_replay,replay
live_b0cdc9f9,gap_046_replay,replay
live_b0cdc9f9,gap_047_ad,ad
live_b0cdc9f9,gap_048_replay,replay
live_b0cdc9f9,gap_049_replay,replay
live_b0cdc9f9,gap_050_replay,replay
live_b0cdc9f9,gap_051_replay,replay
live_b0cdc9f9,gap_052_replay,replay
live_b0cdc9f9,gap_053_replay,replay
live_b0cdc9f9,gap_054_replay,replay
live_b0cdc9f9,gap_055_replay,replay
live_b0cdc9f9,gap_056_replay,replay
live_b0cdc9f9,gap_057_replay,replay
live_b0cdc9f9,gap_058_ad,ad
live_b0cdc9f9,gap_059_replay,replay
live_b0cdc9f9,gap_060_replay,replay
live_b0cdc9f9,gap_061_replay,replay
live_b0cdc9f9,gap_062_replay,replay
live_b0cdc9f9,gap_063_ad,ad
live_b0cdc9f9,gap_064_ad,ad
live_b0cdc9f9,gap_065_ad,ad
live_b0cdc9f9,gap_066_ad,ad
live_b0cdc9f9,gap_067_ad,ad
live_b0cdc9f9,gap_068_replay,replay
