clip_id,ts,tentative_type,final_type,anchor_reason,extension_reason
20260503_205835/d001,0.000,graphic,graphic,,
20260503_205835/d001,0.333,graphic,graphic,,
20260503_205835/d001,0.667,graphic,graphic,,
20260503_205835/d001,1.000,graphic,graphic,,
20260503_205835/d001,1.333,graphic,graphic,,
20260503_205835/d001,1.667,graphic,graphic,,
20260503_205835/d001,2.000,graphic,graphic,,
20260503_205835/d001,2.333,pre_post,pre_post,,
20260503_205835/d001,2.667,pre_post,pre_post,,
20260503_205835/d001,3.000,pre_post,pre_post,,
20260503_205835/d001,3.333,pre_post,pre_post,,
20260503_205835/d001,3.667,pre_post,pre_post,,
20260503_205835/d001,4.000,pre_post,pre_post,,
20260503_205835/d001,4.333,pre_post,pre_post,,
20260503_205835/d001,4.667,graphic,graphic,,
20260503_205835/d001,5.000,umpire_signal,umpire_signal,,
20260503_205835/d001,5.333,pre_post,pre_post,,
20260503_205835/d001,5.667,pre_post,pre_post,,
20260503_205835/d001,6.000,pre_post,pre_post,,
20260503_205835/d001,6.333,pre_post,pre_post,,
20260503_205835/d001,6.667,delivery,delivery,prod_release,
20260503_205835/d001,7.000,pre_post,delivery,forward_extension,forward_extension
20260503_205835/d001,7.333,pre_post,delivery,forward_extension,forward_extension
20260503_205835/d001,7.667,pre_post,pre_post,,
20260503_205835/d001,8.000,pre_post,pre_post,,
20260503_205835/d001,8.333,graphic,graphic,,
20260503_205835/d001,8.667,graphic,graphic,,
20260503_205835/d001,9.000,graphic,graphic,,
20260503_205835/d001,9.333,pre_post,pre_post,,
20260503_205835/d001,9.667,graphic,graphic,,
20260503_205835/d002,0.000,graphic,graphic,,
20260503_205835/d002,0.333,pre_post,pre_post,,
20260503_205835/d002,0.667,pre_post,pre_post,,
20260503_205835/d002,1.000,pre_post,pre_post,,
20260503_205835/d002,1.333,pre_post,pre_post,,
20260503_205835/d002,1.667,graphic,graphic,,
20260503_205835/d002,2.000,pre_post,pre_post,,
20260503_205835/d002,2.333,pre_post,pre_post,,
20260503_205835/d002,2.667,pre_post,pre_post,,
20260503_205835/d002,3.000,pre_post,pre_post,,
20260503_205835/d002,3.333,graphic,graphic,,
20260503_205835/d002,3.667,graphic,graphic,,
20260503_205835/d002,4.000,graphic,graphic,,
20260503_205835/d002,4.333,graphic,graphic,,
20260503_205835/d002,4.667,graphic,graphic,,
20260503_205835/d002,5.000,graphic,graphic,,
20260503_205835/d002,5.333,graphic,graphic,,
20260503_205835/d002,5.667,pre_post,pre_post,,
20260503_205835/d002,6.000,graphic,graphic,,
20260503_205835/d002,6.333,graphic,graphic,,
20260503_205835/d002,6.667,graphic,graphic,,
20260503_205835/d002,7.000,graphic,graphic,,
20260503_205835/d002,7.333,pre_post,pre_post,,
20260503_205835/d002,7.667,pre_post,pre_post,,
20260503_205835/d002,8.000,pre_post,pre_post,,
20260503_205835/d002,8.333,pre_post,pre_post,,
20260503_205835/d002,8.667,pre_post,pre_post,,
20260503_205835/d002,9.000,graphic,graphic,,
