clip_id,label,ts_s,flow_magnitude,strip_diff_v1,strip_diff_v3
20260420_202239__d001,ad,0.063971,1.407491,0.463773,15.802108
20260420_202239__d001,ad,0.127943,3.216956,1.086879,35.069100
20260420_202239__d001,ad,0.191914,1.512489,0.002539,0.003842
20260420_202239__d001,ad,0.255885,1.881267,0.002015,0.012510
20260420_202239__d001,ad,0.319857,0.017180,0.002498,0.010835
20260420_202239__d001,ad,0.383828,0.265075,0.003667,0.014726
20260420_202239__d001,ad,0.447799,0.483427,0.006085,0.021720
20260420_202239__d001,ad,0.511771,1.561199,0.002055,0.013938
20260420_202239__d001,ad,0.575742,1.173399,0.000161,0.004827
20260420_202239__d001,ad,0.639713,0.075418,0.000242,0.009309
20260420_202239__d001,ad,0.703685,0.014730,0.003788,0.040534
20260420_202239__d001,ad,0.767656,0.006131,0.001088,0.007585
20260420_202239__d001,ad,0.831627,0.003599,0.000564,0.000640
20260420_202239__d001,ad,0.895599,0.006532,0.002216,0.009949
20260420_202239__d001,ad,0.959570,0.003027,0.001894,0.002266
20260420_202239__d001,ad,1.023541,0.003318,0.001169,0.000936
20260420_202239__d001,ad,1.087513,0.001850,0.000443,0.000246
20260420_202239__d001,ad,1.151484,0.000677,0.002055,0.002610
20260420_202239__d001,ad,1.215455,0.000588,0.000685,0.001330
20260420_202239__d001,ad,1.279427,0.000390,0.001652,0.000936
20260420_202239__d001,ad,1.343398,0.000374,0.001652,0.000936
20260420_202239__d001,ad,1.407369,0.000552,0.000685,0.000640
20260420_202239__d001,ad,1.471341,0.000375,0.002337,0.001330
20260420_202239__d001,ad,1.535312,0.000349,0.002337,0.001330
20260420_202239__d001,ad,1.599284,9.773314,4.587887,129.686318
20260420_202239__d001,ad,1.663255,2.005672,0.373267,8.268223
20260420_202239__d001,ad,1.727226,1.562140,0.361057,7.330230
20260420_202239__d001,ad,1.791198,0.867709,0.178675,5.369385
20260420_202239__d001,ad,1.855169,1.311686,0.239805,9.638790
20260420_202239__d001,ad,1.919140,0.606517,0.184478,8.408737
20260420_202239__d001,ad,1.983112,1.264375,0.243553,10.502463
20260420_202239__d001,ad,2.047083,0.529655,0.080996,5.537677
20260420_202239__d001,ad,2.111054,0.946517,0.185646,7.263249
20260420_202239__d001,ad,2.175026,1.158360,0.198179,7.030437
20260420_202239__d001,ad,2.238997,0.682493,0.095704,2.996355
20260420_202239__d001,ad,2.302968,1.197522,0.161307,5.412825
20260420_202239__d001,ad,2.366940,1.189559,0.115772,3.698532
20260420_202239__d001,ad,2.430911,1.506523,0.195358,6.041026
20260420_202239__d001,ad,2.494882,0.810295,0.120446,3.655684
20260420_202239__d001,ad,2.558854,1.511252,0.207165,6.253842
20260420_202239__d001,ad,2.622825,1.487341,0.290861,6.479610
20260420_202239__d001,ad,2.686796,0.798452,0.143577,3.481531
20260420_202239__d001,ad,2.750768,1.645831,0.242706,7.511476
20260420_202239__d001,ad,2.814739,2.108830,0.168681,6.122390
20260420_202239__d001,ad,2.878710,1.680039,0.162838,5.697646
20260420_202239__d001,ad,2.942682,2.148148,0.254956,8.225374
20260420_202239__d001,ad,3.006653,2.294350,0.261847,8.471286
20260420_202239__d001,ad,3.070624,1.960802,0.242787,7.687500
20260420_202239__d001,ad,3.134596,1.869427,0.239362,7.067918
20260420_202239__d001,ad,3.198567,1.045902,0.146680,4.395686
20260420_202239__d001,ad,3.262538,2.863448,0.273896,7.961288
20260420_202239__d001,ad,3.326510,0.975230,0.155061,4.699862
20260420_202239__d001,ad,3.390481,1.396501,0.217279,6.376478
20260420_202239__d001,ad,3.454452,1.845645,0.271518,7.740888
20260420_202239__d001,ad,3.518424,0.730230,0.137895,4.197400
20260420_202239__d001,ad,3.582395,1.451508,0.227998,6.755713
20260420_202239__d001,ad,3.646366,0.738292,0.146841,4.385392
20260420_202239__d001,ad,3.710338,0.728127,0.140192,4.388987
20260420_202239__d001,ad,3.774309,9.011794,2.858922,78.607713
20260420_202239__d001,ad,3.838280,0.665139,0.588572,9.489017
20260420_202239__d001,ad,3.902252,0.604076,0.291304,6.425581
20260420_202239__d001,ad,3.966223,1.169508,0.451322,7.375788
20260420_202239__d001,ad,4.030194,0.583438,0.262693,5.984092
20260420_202239__d001,ad,4.094166,0.888445,0.358841,6.887362
20260420_202239__d001,ad,4.158137,0.464635,0.318746,5.090918
20260420_202239__d001,ad,4.222108,0.697022,0.397929,5.149478
20260420_202239__d001,ad,4.286080,0.190873,0.124799,2.449074
20260420_202239__d001,ad,4.350051,0.826698,0.197010,3.576241
20260420_202239__d001,ad,4.414023,0.131752,0.092279,1.851852
20260420_202239__d001,ad,4.477994,0.491832,0.102837,3.181196
20260420_202239__d001,ad,4.541965,1.053434,0.128828,4.070528
20260420_202239__d001,ad,4.605937,0.274626,0.087242,2.615544
20260420_202239__d001,ad,4.669908,0.560821,0.131407,4.236160
20260420_202239__d001,ad,4.733879,0.775313,0.106262,2.847173
20260420_202239__d001,ad,4.797851,0.451498,0.149460,4.419178
20260420_202239__d001,ad,4.861822,1.091610,0.110251,3.154403
20260420_202239__d001,ad,4.925793,4.131074,1.325677,30.563436
20260420_202239__d001,ad,4.989765,1.424662,0.373388,11.091312
20260420_202239__d001,ad,5.053736,2.620178,0.471873,16.638396
20260420_202239__d001,ad,5.117707,1.393187,0.248267,9.773000
20260420_202239__d001,ad,5.181679,2.699579,0.493432,15.842002
20260420_202239__d001,ad,5.245650,3.281730,0.479892,18.952078
20260420_202239__d001,ad,5.309621,1.771385,0.268456,11.907407
20260420_202239__d001,ad,5.373593,3.328547,0.522324,20.487589
20260420_202239__d001,ad,5.437564,1.880065,0.302506,13.810087
20260420_202239__d001,ad,5.501535,3.973962,0.584865,22.967642
20260420_202239__d001,ad,5.565507,2.487577,0.366779,16.850374
20260420_202239__d001,ad,5.629478,10.773809,1.241941,43.788268
20260420_202239__d001,ad,5.693449,4.396431,0.641360,25.075699
20260420_202239__d001,ad,5.757421,4.103788,0.690321,25.172281
20260420_202239__d001,ad,5.821392,2.021973,0.467319,15.247242
20260420_202239__d001,ad,5.885363,4.042026,0.796825,27.596336
20260420_202239__d001,ad,5.949335,2.593467,0.653288,21.541716
20260420_202239__d001,ad,6.013306,1.082984,0.339217,10.440652
20260420_202239__d001,ad,6.077277,1.847700,0.893577,16.382486
20260420_202239__d001,ad,6.141249,1.165144,0.415861,10.338603
20260420_202239__d001,ad,6.205220,2.318547,0.609647,16.903861
20260420_202239__d001,ad,6.269191,1.327099,0.437379,11.078802
20260420_202239__d001,ad,6.333163,3.202153,0.657681,18.374901
20260420_202239__d001,ad,6.397134,1.437227,0.430085,10.621700
20260420_202239__d001,ad,6.461105,2.690274,0.617626,16.032260
20260420_202239__d001,ad,6.525077,1.523279,0.413524,10.139874
20260420_202239__d001,ad,6.589048,2.958886,0.511605,19.774232
20260420_202239__d001,ad,6.653019,2.894217,0.644987,22.276251
20260420_202239__d001,ad,6.716991,1.574519,0.361783,13.336288
20260420_202239__d001,ad,6.780962,2.403520,0.687903,18.300236
20260420_202239__d001,ad,6.844933,1.224337,0.320076,7.960451
20260420_202239__d001,ad,6.908905,1.712183,0.403570,11.416519
20260420_202239__d001,ad,6.972876,1.043153,0.366739,8.246257
20260420_202239__d001,ad,7.036847,2.116152,0.744479,16.003448
20260420_202239__d001,ad,7.100819,2.635188,0.634671,16.747242
20260420_202239__d001,ad,7.164790,1.479877,0.459583,11.672528
20260420_202239__d001,ad,7.228762,12.293995,1.541223,45.544917
20260420_202239__d001,ad,7.292733,1.219246,0.441933,13.305211
20260420_202239__d001,ad,7.356704,0.016110,0.004271,0.026005
20260420_202239__d001,ad,7.420676,1.206366,0.420374,13.653369
20260420_202239__d001,ad,7.484647,1.282847,0.344778,13.830280
20260420_202239__d001,ad,7.548618,1.345954,0.492344,14.359240
20260420_202239__d001,ad,7.612590,0.013660,0.005198,0.040879
20260420_202239__d001,ad,7.676561,1.355786,0.441691,14.974192
20260420_202239__d001,ad,7.740532,1.371786,0.475862,15.188042
20260420_202239__d001,ad,7.804504,1.415900,0.610896,15.452177
20260420_202239__d001,ad,7.868475,1.492590,0.574710,15.297380
20260420_202239__d001,ad,7.932446,0.028157,0.017650,0.274921
20260420_202239__d001,ad,7.996418,1.484052,0.577772,15.651349
20260420_202239__d001,ad,8.060389,1.470257,0.537073,15.830280
20260420_202239__d001,ad,8.124360,1.523646,0.521438,16.248966
20260420_202239__d001,ad,8.188332,1.606453,0.592481,16.302157
20260420_202239__d001,ad,8.252303,0.024124,0.011807,0.147853
20260420_202239__d001,ad,8.316274,1.736069,0.549484,16.756403
20260420_202239__d001,ad,8.380246,1.758816,0.613515,17.107319
20260420_202239__d001,ad,8.444217,1.752140,0.623066,16.570971
20260420_202239__d001,ad,8.508188,0.022331,0.008865,0.176911
20260420_202239__d001,ad,8.572160,1.838496,0.717924,15.372981
20260420_202239__d001,ad,8.636131,1.897374,0.609405,14.915682
20260420_202239__d001,ad,8.700102,1.962754,0.535219,15.401251
20260420_202239__d001,ad,8.764074,2.089412,0.598727,15.110471
20260420_202239__d001,ad,8.828045,0.027205,0.010276,0.282752
20260420_202239__d001,ad,8.892016,1.943316,0.580271,16.351113
20260420_202239__d001,ad,8.955988,2.105981,0.700032,17.241824
20260420_202239__d001,ad,9.019959,2.027328,0.592037,17.144011
20260420_202239__d001,ad,9.083930,0.004577,0.003103,0.078260
20260420_202239__d001,ad,9.147902,2.120981,0.655303,17.078753
20260420_202239__d001,ad,9.211873,2.128649,0.566973,16.002118
20260420_202239__d001,ad,9.275844,0.021156,0.009832,0.159033
20260420_202239__d001,ad,9.339816,2.270107,0.573219,17.158540
20260420_202239__d001,ad,9.403787,1.957977,0.533567,18.114608
20260420_202239__d001,ad,9.467758,2.082930,0.523775,17.709860
20260420_202239__d001,ad,9.531730,1.978593,0.509067,18.411988
20260420_202239__d001,ad,9.595701,13.028049,1.253425,54.275217
20260420_202239__d001,ad,9.659672,0.042568,0.000000,0.460697
20260420_202239__d001,ad,9.723644,0.004970,0.000000,0.071612
20260420_202239__d001,ad,9.787615,0.004121,0.000081,0.054620
20260420_202239__d001,ad,9.851586,0.004180,0.000604,0.090721
20260420_202239__d001,ad,9.915558,0.002264,0.000000,0.012805
20260420_202239__d001,ad,9.979529,0.001473,0.000000,0.028024
20260420_202239__d001,ad,10.043501,0.001088,0.000000,0.015465
20260420_202239__d001,ad,10.107472,0.001850,0.000000,0.007535
20260420_202239__d001,ad,10.171443,0.000773,0.000000,0.001921
20260420_202239__d001,ad,10.235415,0.000193,0.000000,0.000690
20260420_202239__d001,ad,10.299386,0.000226,0.000000,0.000739
20260420_202239__d001,ad,10.363357,0.000498,0.000000,0.001379
20260420_202239__d001,ad,10.427329,0.000650,0.000000,0.003201
20260420_202239__d001,ad,10.491300,0.000491,0.000000,0.001773
20260420_202239__d001,ad,10.555271,0.000700,0.000000,0.003103
20260420_202239__d001,ad,10.619243,0.025333,0.000000,0.387116
20260420_202239__d001,ad,10.683214,16.805923,7.367747,214.699911
20260420_202239__d001,ad,10.747185,0.010214,0.000000,0.002266
