open_strip_mean_max,open_flow_peak_min,close_strip_mean_max,close_flow_peak_min,window_s,min_active_s,min_inactive_s,real_delivery_active_frac,score
5.0,5,5.1,2,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.1,1,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.1,1,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.2,2,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.2,1,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.2,1,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.4,2,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.4,1,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.4,1,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.8,2,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.8,1,10.0,1.5,3.0,0.2883,0.2883
5.0,5,5.8,1,10.0,1.5,3.0,0.2883,0.2883
4.0,5,4.1,2,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.1,1,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.1,1,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.2,2,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.2,1,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.2,1,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.4,2,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.4,1,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.4,1,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.8,2,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.8,1,10.0,1.5,3.0,0.2799,0.2799
4.0,5,4.8,1,10.0,1.5,3.0,0.2799,0.2799
3.0,5,3.4,2,10.0,1.5,3.0,0.2736,0.2736
3.0,5,3.4,1,10.0,1.5,3.0,0.2736,0.2736
3.0,5,3.4,1,10.0,1.5,3.0,0.2736,0.2736
3.0,5,3.8,2,10.0,1.5,3.0,0.2736,0.2736
3.0,5,3.8,1,10.0,1.5,3.0,0.2736,0.2736
3.0,5,3.8,1,10.0,1.5,3.0,0.2736,0.2736
3.0,5,3.1,2,10.0,1.5,3.0,0.2733,0.2733
3.0,5,3.1,1,10.0,1.5,3.0,0.2733,0.2733
3.0,5,3.1,1,10.0,1.5,3.0,0.2733,0.2733
3.0,5,3.2,2,10.0,1.5,3.0,0.2733,0.2733
3.0,5,3.2,1,10.0,1.5,3.0,0.2733,0.2733
3.0,5,3.2,1,10.0,1.5,3.0,0.2733,0.2733
2.5,5,3.3,2,10.0,1.5,3.0,0.2621,0.2621
2.5,5,3.3,1,10.0,1.5,3.0,0.2621,0.2621
2.5,5,3.3,1,10.0,1.5,3.0,0.2621,0.2621
2.5,5,2.6,2,10.0,1.5,3.0,0.2606,0.2606
2.5,5,2.6,1,10.0,1.5,3.0,0.2606,0.2606
2.5,5,2.6,1,10.0,1.5,3.0,0.2606,0.2606
2.5,5,2.7,2,10.0,1.5,3.0,0.2606,0.2606
2.5,5,2.7,1,10.0,1.5,3.0,0.2606,0.2606
2.5,5,2.7,1,10.0,1.5,3.0,0.2606,0.2606
2.5,5,2.9,2,10.0,1.5,3.0,0.2606,0.2606
2.5,5,2.9,1,10.0,1.5,3.0,0.2606,0.2606
2.5,5,2.9,1,10.0,1.5,3.0,0.2606,0.2606
2.0,5,2.8,2,10.0,1.5,3.0,0.2447,0.2447
2.0,5,2.8,1,10.0,1.5,3.0,0.2447,0.2447
2.0,5,2.8,1,10.0,1.5,3.0,0.2447,0.2447
2.0,5,2.2,2,10.0,1.5,3.0,0.2443,0.2443
2.0,5,2.2,1,10.0,1.5,3.0,0.2443,0.2443
2.0,5,2.2,1,10.0,1.5,3.0,0.2443,0.2443
2.0,5,2.4,2,10.0,1.5,3.0,0.2443,0.2443
2.0,5,2.4,1,10.0,1.5,3.0,0.2443,0.2443
2.0,5,2.4,1,10.0,1.5,3.0,0.2443,0.2443
2.0,5,2.1,2,10.0,1.5,3.0,0.244,0.244
2.0,5,2.1,1,10.0,1.5,3.0,0.244,0.244
