open_strip_mean_max,open_flow_peak_min,close_strip_mean_max,close_flow_peak_min,window_s,min_active_s,min_inactive_s,real_delivery_active_frac,ad_active_frac,replay_active_frac,noise_active_frac,score
0.15,15,0.275,10,10.0,1.5,3.0,0.5073,0.0,0.0564,0.2272,0.4787
0.15,15,0.275,5,10.0,1.5,3.0,0.5073,0.0,0.0564,0.2272,0.4787
0.15,15,0.275,1,10.0,1.5,3.0,0.5073,0.0,0.0564,0.2272,0.4787
0.15,15,0.3,10,10.0,1.5,3.0,0.5073,0.0,0.0564,0.2272,0.4787
0.15,15,0.3,5,10.0,1.5,3.0,0.5073,0.0,0.0564,0.2272,0.4787
0.15,15,0.3,1,10.0,1.5,3.0,0.5073,0.0,0.0564,0.2272,0.4787
0.15,15,0.25,10,10.0,1.5,3.0,0.5057,0.0,0.0564,0.2272,0.4772
0.15,15,0.25,5,10.0,1.5,3.0,0.5057,0.0,0.0564,0.2272,0.4772
0.15,15,0.25,1,10.0,1.5,3.0,0.5057,0.0,0.0564,0.2272,0.4772
0.15,15,0.225,10,10.0,1.5,3.0,0.5015,0.0,0.0564,0.2272,0.4732
0.15,15,0.225,5,10.0,1.5,3.0,0.5015,0.0,0.0564,0.2272,0.4732
0.15,15,0.225,1,10.0,1.5,3.0,0.5015,0.0,0.0564,0.2272,0.4732
0.15,15,0.2,10,10.0,1.5,3.0,0.501,0.0,0.0564,0.2272,0.4728
0.15,15,0.2,5,10.0,1.5,3.0,0.501,0.0,0.0564,0.2272,0.4728
0.15,15,0.2,1,10.0,1.5,3.0,0.501,0.0,0.0564,0.2272,0.4728
0.15,10,0.3,5,10.0,1.5,3.0,0.5772,0.0,0.196,0.3433,0.4641
0.15,10,0.3,1,10.0,1.5,3.0,0.5772,0.0,0.196,0.3433,0.4641
0.15,10,0.3,1,10.0,1.5,3.0,0.5772,0.0,0.196,0.3433,0.4641
0.15,10,0.275,5,10.0,1.5,3.0,0.577,0.0,0.196,0.3433,0.4639
0.15,10,0.275,1,10.0,1.5,3.0,0.577,0.0,0.196,0.3433,0.4639
0.15,10,0.275,1,10.0,1.5,3.0,0.577,0.0,0.196,0.3433,0.4639
0.15,10,0.25,5,10.0,1.5,3.0,0.573,0.0,0.196,0.3433,0.4607
0.15,10,0.25,1,10.0,1.5,3.0,0.573,0.0,0.196,0.3433,0.4607
0.15,10,0.25,1,10.0,1.5,3.0,0.573,0.0,0.196,0.3433,0.4607
0.1,15,0.25,10,10.0,1.5,3.0,0.4589,0.0,0.0,0.1656,0.4589
