session,clip_id,manual_label,over,event_type,n_frames,flow_mean,flow_std,flow_p50,flow_p95,flow_peak_count,diff_mean,diff_std,diff_p50,diff_p95,diff_peak_count,strip_mean,strip_std,strip_p95
20260420_202239,d001,ad,11.0,1_RUNS,237,1.1987615323500003,2.149636460879041,0.556800127029419,3.456670475006096,19,7.177152222920469,17.64533369075114,4.538460401891253,14.237652679275016,8,0.3061276990209121,0.7641116350073113,0.7237346872985169
20260420_202239,d002,real_delivery,11.1,1_RUNS,348,2.2576920691310245,2.6298594318831214,1.1351616382598877,7.743132162094114,74,6.7014104151381755,6.400886476482666,4.805602344365642,18.113334318360902,57,0.09435213284718054,0.24886361113705488,0.20991295938104446
20260420_202239,d003,real_delivery,11.2,1_RUNS,375,1.245107407701512,2.142203437690947,0.7150818705558777,4.101840257644653,30,4.346890491200421,4.654815021308263,3.391376083530339,14.452125689519317,42,0.07519138190414787,0.10874001535276444,0.18665377176015474
20260420_202239,d004,real_delivery,11.3,2_RUNS,339,3.557537764302595,4.581580830404505,1.6282416582107544,14.306846427917455,65,8.226535190182966,6.759283694851444,5.778871158392435,20.904286840031507,80,0.03216796566683593,0.07632318942633262,0.185311895551257
20260420_202239,d005,real_delivery,11.4,DOT,228,1.8526079326606633,2.0612648658959856,1.1251751780509949,5.810784196853636,36,6.212948554774446,6.958869073449783,3.69693902679275,19.410723995271855,28,0.1853192125623537,0.32636875047700487,0.6180548839458412
20260420_202239,d006,real_delivery,11.5,1_RUNS,352,1.7571638859173453,2.2016483534847895,0.8510727882385254,6.860429406166071,63,5.702544239491547,5.990596535671978,3.3093996256895193,18.15828383569739,80,0.0286720490079714,0.0499875866334392,0.14900668923275304
20260420_202239,d007,real_delivery,12.0,2_RUNS,333,2.0579155389969057,2.1849831159575896,1.420677900314331,5.792559146881103,44,6.758551429680272,5.007592142919623,5.274551812450748,15.86279058313632,69,0.03471859189944296,0.040407904274105254,0.10282882011605415
20260420_202239,d008,real_delivery,12.1,DOT,399,1.2165850193466161,1.8068922443979878,0.40391191840171814,5.260477638244619,67,3.965963050850136,4.862234480919206,1.962854609929078,13.660659475965327,70,0.027511759734604076,0.05147887749752137,0.14458816892327528
20260420_202239,d009,real_delivery,12.2,1_RUNS,418,3.4123734098783376,3.1404847738105404,2.6172298192977905,9.490060281753538,80,10.529879821922096,8.585675631762655,7.951130319148936,24.010473552009447,93,0.3012713282679179,0.3960159482395831,0.9683752417794966
20260420_202239,d010,real_delivery,12.3,WICKET,264,3.4881002594801513,3.273482591752562,2.1870510578155518,11.21259570121765,55,8.938127414063805,5.505267057319805,7.85990937746257,17.43963578605201,51,0.07166930426118047,0.5255412367445526,0.10533526756931012
20260420_202239,d011,real_delivery,12.4,1_RUNS,399,0.9172730782468405,0.9667868110205723,0.6944650411605835,2.7963292360305774,57,4.211294081835796,6.448159312157508,3.383165878644602,11.373113672182793,29,0.11242655720539259,0.41908398339609093,0.45897001934235865
20260420_202239,d012,real_delivery,12.5,1_RUNS,217,2.41943056084868,2.7288935936733045,1.1631149053573608,8.784597587585443,54,5.993451722754227,4.389634685581015,4.80332939322301,12.220381205673759,45,0.06080624363054013,0.17199446970220428,0.21960025789813017
20260420_202239,d013,real_delivery,13.0,DOT,352,3.1013831498461184,3.9631927722766056,1.2175765633583069,11.926197052001953,76,9.083587187813418,9.245292168216915,5.719744877856581,27.22722936367218,63,0.1689694103144599,0.3288152115046662,0.594005883301096
20260420_202239,d014,real_delivery,13.1,DOT,198,2.954348812284268,2.657933860684616,1.9281908869743347,8.67419190406799,45,8.784321967707015,5.731722702872626,8.386295803782506,18.408208727344356,26,0.04890010680629636,0.058892438444209105,0.1641098484848483
20260420_202239,d015,real_delivery,13.2,1_RUNS,385,2.372175348550081,1.997818172198303,1.7862151861190796,5.957802295684814,66,6.365371150716895,5.074554231872969,4.585111308116628,12.29894405043341,65,0.0363069071482998,0.1432300498645216,0.06539329464861379
20260420_202239,d016,real_delivery,13.3,1_RUNS,330,3.652793604677374,3.5281117956038957,2.4180006980895996,11.777845907211308,65,10.7652646440767,8.511679247350807,8.667981678486997,25.618766006698202,50,0.2491065148584491,0.42986791258118845,1.1323883784655062
20260420_202239,d017,real_delivery,13.4,1_RUNS,397,3.706055509954015,3.440267828797357,2.5062344074249268,11.442455863952635,81,10.170303750746834,7.819139856560235,8.710160559495666,21.94389085894404,68,0.17342573329630512,0.2818152557954177,0.7234203739522889
20260420_202239,d018,real_delivery,13.5,2_RUNS,407,3.1509176455094896,3.2041115527203483,1.852413296699524,9.318936157226563,110,6.34495197567006,5.103184397384806,5.937135539795114,14.953564322301022,59,0.035868612150043486,0.059679279866060767,0.18120567375886523
20260420_202239,d019,ad,14.0,DOT,399,2.555272213431346,3.146317775999767,1.4855560064315796,8.833744049072262,69,10.72729176911941,17.198117022433387,8.36468183609141,24.625197498029944,16,0.44328432703292725,0.7266248610164215,1.3480939716312026
20260420_202239,d020,real_delivery,14.1,SIX,232,3.413350454435266,2.978537001173676,2.745327591896057,8.934153938293447,45,9.841152966291677,6.804963541819839,7.711682427107959,22.700854757683214,60,0.3131318921052047,2.9757981894333585,0.23547912637008359
20260420_202239,d021,replay,14.2,FOUR,343,2.634820619570879,3.1012016277372485,1.5132827758789062,9.546049785614013,61,8.404631352709947,7.184790744488431,6.1909869976359335,21.92138051615445,71,0.22595645055480054,0.21883237984259588,0.6134066731141199
20260420_202239,d022,noise,14.3,FOUR,355,3.7786282735811154,3.916936506436511,2.388263463973999,12.884270572662356,69,8.533959602770286,6.772798926798625,7.499280929866036,19.08477935382191,60,0.22371334713633187,0.3776234881284604,0.6806939071566731
20260420_202239,d023,real_delivery,14.4,2_RUNS,277,3.123986153651553,3.057165687102397,2.1784560680389404,8.735846138000486,66,7.353192111671546,5.6179706778070155,6.227403467297084,17.136098305752558,58,0.026237148735996578,0.24653525902256196,0.04889587362991617
20260420_202239,d024,real_delivery,14.4,EXTRA,370,1.541632061471181,1.702776821694048,1.1207975149154663,4.484298968315125,51,5.466664457010202,6.071894576349692,4.4544818754925135,11.378115888494879,22,0.06554500583755903,0.2016293815538486,0.11567335589941978
20260420_202239,d025,real_delivery,14.5,1_RUNS,348,1.5264936100474364,2.12012758757693,1.0230074524879456,5.330175399780262,38,5.375214257651512,7.6371214439297175,3.67001329787234,16.516776004728133,40,0.06849805372136626,0.2382414128666279,0.2167271115409413
20260420_202239,d026,noise,15.0,1_RUNS,57,1.470285481528232,0.7257169774674801,1.3392075300216675,2.693497514724731,14,6.391586309153499,3.374364936783115,6.122502955082743,12.12989066193853,12,0.06523027022747067,0.03794105071737576,0.13060928433268856
20260420_202239,d027,real_delivery,15.1,2_RUNS,377,2.340897518756061,2.681060417915725,1.1695334911346436,8.753701019287108,74,6.261370405904522,4.64070677352669,5.428432821118991,13.959730102442865,56,0.04435168035681609,0.1424223167342825,0.16124274661508664
20260420_202239,d028,real_delivery,15.2,DOT,359,0.831641353054548,0.7803005338280752,0.5916538834571838,2.602072620391845,62,3.360663595795167,4.572500846616381,2.446232269503546,7.418513100866815,21,0.03750062858179375,0.12759077026405966,0.1062983558994197
20260420_202239,d029,real_delivery,15.3,DOT,314,1.07788129971855,0.8382858126986592,0.835506945848465,2.8252569556236256,63,4.540849642754965,5.5044640564400105,3.4475029550827423,10.05207299054372,20,0.05875023613284218,0.13758402286417432,0.2192980335267558
20260420_202239,d030,real_delivery,15.4,DOT,140,1.5126306101679803,0.9850606369106895,1.174182951450348,3.5338036775588972,28,5.735185185185185,6.087348382484162,3.9296493301812454,15.688728575650115,19,0.03932370820668694,0.04987687571235495,0.14255319148936169
20260420_202239,d031,real_delivery,15.5,1_RUNS,307,2.3579979433059233,3.7286376611715615,0.5999009013175964,11.479694080352782,55,5.62954846913238,7.578125566522308,2.773537234042553,19.265897360126075,54,0.29004627150288664,2.2333304560474256,0.3293802385557705
20260420_202239,d032,real_delivery,16.0,1_RUNS,361,1.8130013834468381,3.2441579721592624,0.735965371131897,10.538352966308594,30,4.784020451464608,5.5483091383889125,2.9817769897557134,16.861638100866823,53,0.021116414037230916,0.034776125729732335,0.08043197936814958
20260420_202239,d033,real_delivery,16.1,SIX,318,2.645250989534195,2.789786917280242,1.6467840075492859,8.367010498046872,67,8.227684355036155,8.203031768954428,5.889445429472025,24.68724118400315,54,0.09981197462379718,0.36469684671438773,0.37017851386202427
20260420_202239,d034,real_delivery,16.2,3_RUNS,351,4.283562428294084,3.580780436388313,3.7401368618011475,10.324178218841553,87,8.239676405811156,6.048118098061547,7.185825453112687,18.704117415287627,70,0.36916055444424245,3.33641852193477,0.15979609929078015
20260420_202239,d035,real_delivery,16.2,EXTRA,378,3.472891717262211,3.9004150724238444,1.8633788228034973,12.772935438156127,92,10.500788191447668,9.26869925201704,8.096520390070921,25.28280215721039,94,0.13078170680121035,0.29614149604640705,0.4918741940683414
20260420_202239,d036,real_delivery,16.3,1_RUNS,378,3.764921456141762,3.657858434629231,2.562820076942444,11.435198163986184,80,10.906212683611225,8.176492123153281,9.040176812450749,23.151532702915677,90,0.09056656995486782,0.2341128775152369,0.3737326724693742
20260421_195050,d001,real_delivery,4.4,DOT,268,1.4517263236191513,1.5567841607981125,0.8604491651058197,5.1024921894073465,47,5.335862226250544,5.472591423465559,4.19974635539795,12.572914450354608,34,0.027249962710624825,0.04545961078366924,0.11326764990328805
