session,clip_id,manual_label,total_frames,action_count,action_ratio,max_consecutive_action,replay_count,ad_count,other_count,latency_median_ms
20260420_202239,d001,ad,15,2,0.133,1,0,0,13,794
20260420_202239,d002,real_delivery,22,10,0.455,7,0,0,12,1059
20260420_202239,d003,real_delivery,26,18,0.692,8,2,0,6,1035
20260420_202239,d004,real_delivery,22,14,0.636,5,0,0,8,814
20260420_202239,d005,real_delivery,16,10,0.625,6,0,0,6,1312
20260420_202239,d006,real_delivery,24,19,0.792,12,0,0,5,802
20260420_202239,d007,real_delivery,23,11,0.478,10,0,0,12,1117
20260420_202239,d008,real_delivery,24,17,0.708,13,0,0,7,896
20260420_202239,d009,real_delivery,25,12,0.480,7,0,0,13,1716
20260420_202239,d010,real_delivery,16,5,0.312,5,0,0,11,1372
20260420_202239,d011,real_delivery,24,10,0.417,8,1,0,13,825
20260420_202239,d012,real_delivery,13,11,0.846,9,0,0,2,2080
20260420_202239,d013,real_delivery,21,9,0.429,5,0,0,12,1018
20260420_202239,d014,real_delivery,12,5,0.417,3,0,0,7,2726
20260420_202239,d015,real_delivery,23,21,0.913,11,1,0,1,2059
20260420_202239,d016,real_delivery,20,10,0.500,4,0,0,10,1593
20260420_202239,d017,real_delivery,25,8,0.320,7,0,0,17,2263
20260420_202239,d018,real_delivery,24,15,0.625,6,0,0,9,1049
20260420_202239,d019,ad,24,6,0.250,2,1,0,17,908
20260420_202239,d020,real_delivery,16,3,0.188,3,0,0,13,812
20260420_202239,d021,replay,22,11,0.500,5,0,0,11,807
20260420_202239,d022,noise,23,6,0.261,4,0,0,17,1950
20260420_202239,d023,real_delivery,18,9,0.500,4,0,0,9,799
20260420_202239,d024,real_delivery,25,9,0.360,5,0,0,16,1761
20260420_202239,d025,real_delivery,24,7,0.292,6,1,0,16,849
20260420_202239,d026,noise,4,0,0.000,0,0,0,4,1408
20260420_202239,d027,real_delivery,24,13,0.542,8,0,0,11,1536
20260420_202239,d028,real_delivery,23,10,0.435,4,0,0,13,1921
20260420_202239,d029,real_delivery,20,12,0.600,11,0,0,8,744
20260420_202239,d030,real_delivery,9,3,0.333,3,1,0,5,1812
20260420_202239,d031,real_delivery,21,11,0.524,6,1,0,9,1970
20260420_202239,d032,real_delivery,26,21,0.808,8,0,0,5,983
20260420_202239,d033,real_delivery,22,8,0.364,4,1,0,13,2207
20260420_202239,d034,real_delivery,24,14,0.583,8,0,0,10,1582
20260420_202239,d035,real_delivery,24,17,0.708,7,0,0,7,1125
20260420_202239,d036,real_delivery,26,14,0.538,4,0,0,12,1640
20260421_195050,d001,real_delivery,16,10,0.625,10,1,0,5,695
20260421_195050,d002,real_delivery,20,5,0.250,5,0,0,15,1687
20260421_195050,d003,real_delivery,17,12,0.706,10,1,0,4,1606
20260421_195050,d004,real_delivery,21,14,0.667,8,0,0,7,600
20260421_195050,d005,real_delivery,23,16,0.696,6,0,0,7,1781
20260421_195050,d006,real_delivery,20,12,0.600,6,0,0,8,2085
20260421_195050,d007,real_delivery,18,13,0.722,7,0,0,5,1377
20260421_195050,d008,real_delivery,23,12,0.522,5,0,0,11,1725
20260421_195050,d009,real_delivery,10,9,0.900,7,0,0,1,1739
20260421_195050,d010,real_delivery,10,5,0.500,5,0,0,5,694
20260421_195050,d011,noise,15,2,0.133,2,1,0,12,1668
20260421_195050,d012,real_delivery,19,14,0.737,10,0,0,5,1735
20260421_195050,d013,real_delivery,17,13,0.765,9,1,0,3,1830
20260421_195050,d014,noise,16,9,0.562,5,0,0,7,1665
20260421_195050,d015,real_delivery,21,9,0.429,4,0,0,12,1628
20260421_195050,d016,real_delivery,14,10,0.714,4,0,0,4,2738
20260421_195050,d017,real_delivery,18,10,0.556,7,1,0,7,1660
20260421_195050,d018,real_delivery,24,13,0.542,4,1,0,10,828
20260421_195050,d019,real_delivery,15,13,0.867,8,0,0,2,1664
20260421_195050,d020,real_delivery,22,11,0.500,11,1,0,10,847
20260421_195050,d021,real_delivery,21,5,0.238,4,0,0,16,1605
20260421_195050,d022,real_delivery,25,5,0.200,3,0,0,20,1508
20260421_195050,d023,real_delivery,20,14,0.700,11,0,0,6,1747
20260421_195050,d024,real_delivery,26,18,0.692,7,0,0,8,1637
20260421_195050,d025,real_delivery,23,14,0.609,11,1,0,8,1602
20260421_195050,d026,real_delivery,17,11,0.647,6,1,0,5,824
20260421_195050,d027,real_delivery,18,5,0.278,5,0,0,13,1307
20260421_195050,d028,replay,16,3,0.188,3,0,0,13,816
20260421_195050,d029,real_delivery,10,8,0.800,4,0,0,2,2288
20260421_195050,d030,real_delivery,11,6,0.545,6,0,0,5,1159
20260421_195050,d031,real_delivery,15,12,0.800,11,0,0,3,1564
20260421_195050,d032,real_delivery,12,9,0.750,6,0,0,3,1760
20260421_195050,d033,noise,4,4,1.000,4,0,0,0,657
20260421_195050,d034,real_delivery,4,1,0.250,1,0,0,3,619
20260421_195050,d035,real_delivery,12,9,0.750,5,0,0,3,1211
20260421_195050,d036,real_delivery,12,11,0.917,6,0,0,1,1278
20260421_195050,d037,real_delivery,19,6,0.316,2,1,0,12,1731
20260421_195050,d038,replay,10,7,0.700,4,0,0,3,1203
20260421_195050,d039,real_delivery,16,7,0.438,3,0,0,9,1606
20260421_195050,d040,noise,11,2,0.182,1,1,0,8,849
20260421_195050,d041,real_delivery,19,14,0.737,7,0,0,5,1605
20260421_195050,d042,noise,11,6,0.545,6,0,0,5,1546
20260421_195050,d043,noise,12,5,0.417,3,0,0,7,1574
20260421_195050,d044,noise,4,3,0.750,2,0,0,1,1689
20260421_195050,d045,real_delivery,13,5,0.385,2,2,0,6,1722
20260421_195050,d046,real_delivery,16,9,0.562,8,0,0,7,1303
20260421_195050,d047,real_delivery,14,9,0.643,7,0,0,5,1658
20260421_195050,d048,real_delivery,15,13,0.867,7,0,0,2,1823
20260421_195050,d049,real_delivery,20,15,0.750,10,0,0,5,1686
20260421_195050,d050,real_delivery,19,15,0.789,8,0,0,4,2632
20260421_195050,d051,real_delivery,24,5,0.208,5,0,0,19,1769
20260421_195050,d052,noise,4,0,0.000,0,1,0,3,1124
20260421_195050,d053,noise,16,4,0.250,3,0,0,12,1166
20260421_195050,d054,real_delivery,14,9,0.643,5,0,0,5,1629
20260421_195050,d055,real_delivery,24,10,0.417,8,0,0,14,1659
20260421_195050,d056,noise,4,0,0.000,0,1,0,3,602
20260421_195050,d057,replay,21,18,0.857,16,1,0,2,1752
20260421_195050,d058,noise,25,8,0.320,3,2,0,15,971
20260421_195050,d059,real_delivery,12,8,0.667,8,0,0,4,2366
20260421_195050,d060,real_delivery,11,5,0.455,5,1,0,5,1672
20260421_195050,d061,real_delivery,23,13,0.565,5,0,0,10,1862
20260421_195050,d062,real_delivery,19,15,0.789,10,0,0,4,1622
20260421_195050,d063,ad,4,1,0.250,1,0,0,3,1268
20260421_195050,d064,real_delivery,23,10,0.435,3,1,0,12,1638
20260421_195050,d065,real_delivery,21,10,0.476,7,0,0,11,1652
20260421_195050,d066,real_delivery,16,7,0.438,7,0,0,9,1119
20260421_195050,d067,replay,12,4,0.333,2,0,0,8,1318
20260421_195050,d068,noise,12,5,0.417,2,0,0,7,621
20260421_195050,d069,real_delivery,12,9,0.750,5,0,0,3,1157
