session,clip_id,manual_label,total_frames,action_count,action_ratio,max_consecutive_action,replay_count,ad_count,other_count,latency_median_ms
20260420_202239,d001,ad,15,8,0.533,4,3,0,4,469
20260420_202239,d002,real_delivery,22,14,0.636,7,1,0,7,483
20260420_202239,d003,real_delivery,26,22,0.846,12,0,0,4,498
20260420_202239,d004,real_delivery,22,21,0.955,21,0,0,1,521
20260420_202239,d005,real_delivery,16,11,0.688,6,1,0,4,489
20260420_202239,d006,real_delivery,24,20,0.833,12,0,0,4,495
20260420_202239,d007,real_delivery,23,14,0.609,14,0,0,9,1532
20260420_202239,d008,real_delivery,24,17,0.708,10,0,0,7,1488
20260420_202239,d009,real_delivery,25,13,0.520,10,1,0,11,1542
20260420_202239,d010,real_delivery,16,10,0.625,7,0,0,6,1533
20260420_202239,d011,real_delivery,24,12,0.500,11,2,0,10,1552
20260420_202239,d012,real_delivery,13,13,1.000,13,0,0,0,1682
20260420_202239,d013,real_delivery,21,11,0.524,6,3,0,7,1541
20260420_202239,d014,real_delivery,12,8,0.667,6,0,0,4,1581
20260420_202239,d015,real_delivery,23,23,1.000,23,0,0,0,1546
20260420_202239,d016,real_delivery,20,10,0.500,7,1,0,9,1608
20260420_202239,d017,real_delivery,25,12,0.480,7,0,0,13,1521
20260420_202239,d018,real_delivery,24,19,0.792,6,1,0,4,1569
20260420_202239,d019,ad,24,13,0.542,4,4,0,7,1541
20260420_202239,d020,real_delivery,16,11,0.688,8,0,0,5,1641
20260420_202239,d021,replay,22,13,0.591,8,4,0,5,1575
20260420_202239,d022,noise,23,10,0.435,4,2,0,11,1539
20260420_202239,d023,real_delivery,18,13,0.722,13,0,0,5,1606
20260420_202239,d024,real_delivery,25,13,0.520,13,2,0,10,1549
20260420_202239,d025,real_delivery,24,9,0.375,7,6,0,9,1550
20260420_202239,d026,noise,4,0,0.000,0,0,0,4,1560
20260420_202239,d027,real_delivery,24,20,0.833,13,1,0,3,1506
20260420_202239,d028,real_delivery,23,14,0.609,7,0,0,9,1548
20260420_202239,d029,real_delivery,20,14,0.700,13,0,0,6,1601
20260420_202239,d030,real_delivery,9,4,0.444,4,0,0,5,1571
20260420_202239,d031,real_delivery,21,16,0.762,8,0,0,5,1569
20260420_202239,d032,real_delivery,26,23,0.885,11,0,0,3,1555
20260420_202239,d033,real_delivery,22,13,0.591,11,3,0,6,1544
20260420_202239,d034,real_delivery,24,16,0.667,10,2,0,6,1529
20260420_202239,d035,real_delivery,24,18,0.750,8,4,0,2,1579
