session,clip_id,manual_label,event_type,action_ratio_v2,max_run_v2,replay_frames,clip_duration_s,event_offset_s,event_offset_inside_clip,anchor_target_s,anchor_basis,hard_close_count,n_candidates_pre_filter,n_candidates_post_filter,selection_pick,raw_start_s,raw_end_s,padded_start_s,padded_end_s,padding_clamp_flags,selected_frames,v3_padded_start_s,v3_padded_end_s,v3_selection_basis,selection_changed_vs_v3
20260420_202239,d012,real_delivery,1_RUNS,1.0,13,0,12.976,17.12,no,12.976,clip_end,0,1,1,end_before_anchor,0.0,12.0,0.0,12.976,"clamped_start,clamped_end",13,0.0,12.976,anchor_end_before_event,False
20260420_202239,d032,real_delivery,1_RUNS,0.885,11,0,25.511,26.792,no,25.511,clip_end,0,2,2,end_before_anchor_n=2,16.0,25.0,15.0,25.511,clamped_end,10,15.0,25.511,anchor_end_before_event_n=2,False
20260421_195050,d013,real_delivery,1_RUNS,0.941,16,0,16.521,25.379,no,16.521,clip_end,0,1,1,end_before_anchor,0.0,15.0,0.0,16.0,clamped_start,16,0.0,16.0,anchor_end_before_event,False
20260420_202239,d033,real_delivery,SIX,0.591,11,3,21.857,22.571,no,21.857,clip_end,3,1,1,end_before_anchor,0.0,13.0,0.0,14.0,clamped_start,13,0.0,14.0,anchor_end_before_event,False
20260420_202239,d005,real_delivery,DOT,0.688,6,1,15.322,26.146,no,15.322,clip_end,1,1,1,end_before_anchor,0.0,5.0,0.0,6.0,clamped_start,6,0.0,6.0,anchor_end_before_event,False
20260421_195050,d066,real_delivery,FOUR,0.625,7,0,15.152,18.897,no,15.152,clip_end,0,1,1,end_before_anchor,0.0,11.0,0.0,12.0,clamped_start,10,0.0,12.0,anchor_end_before_event,False
20260421_195050,d008,real_delivery,1_RUNS,0.565,10,9,22.39,25.121,no,22.39,clip_end,9,1,1,end_before_anchor,11.0,20.0,10.0,21.0,,10,10.0,21.0,anchor_end_before_event,False
20260420_202239,d017,real_delivery,1_RUNS,0.48,7,0,24.745,25.372,no,24.745,clip_end,0,1,1,end_before_anchor,13.0,18.0,12.0,19.0,,6,12.0,19.0,anchor_end_before_event,False
20260421_195050,d021,real_delivery,1_RUNS,0.238,2,13,20.336,22.133,no,20.336,clip_end,13,0,0,no_qualifying_span,0.0,0.0,0.0,0.0,,0,0.0,0.0,no_qualifying_span,False
20260421_195050,d027,real_delivery,SIX,0.389,6,0,17.861,25.468,no,17.861,clip_end,0,1,1,end_before_anchor,2.0,6.0,1.0,7.0,,5,1.0,7.0,anchor_end_before_event,False
20260420_202239,d015,real_delivery,1_RUNS,1.0,23,0,23.101,24.048,no,23.101,clip_end,0,1,1,end_before_anchor,0.0,22.0,0.0,23.0,clamped_start,23,0.0,23.0,anchor_end_before_event,False
20260421_195050,d029,real_delivery,1_RUNS,1.0,10,0,9.943,12.143,no,9.943,clip_end,0,1,1,end_before_anchor,0.0,9.0,0.0,9.943,"clamped_start,clamped_end",10,0.0,9.943,anchor_end_before_event,False
20260420_202239,d029,real_delivery,DOT,0.7,13,0,19.93,21.012,no,19.93,clip_end,0,1,1,end_before_anchor,0.0,14.0,0.0,15.0,clamped_start,14,0.0,15.0,anchor_end_before_event,False
20260421_195050,d055,real_delivery,1_RUNS,0.583,11,0,23.533,25.134,no,23.533,clip_end,0,1,1,end_before_anchor,6.0,17.0,5.0,18.0,,11,5.0,18.0,anchor_end_before_event,False
20260421_195050,d060,real_delivery,1_RUNS,0.455,5,0,10.109,11.211,no,10.109,clip_end,0,1,1,end_before_anchor,0.0,4.0,0.0,5.0,clamped_start,5,0.0,5.0,anchor_end_before_event,False
20260421_195050,d019,real_delivery,DOT,0.933,14,0,14.433,19.871,no,14.433,clip_end,0,1,1,end_before_anchor,0.0,13.0,0.0,14.0,clamped_start,14,,,,
20260421_195050,d036,real_delivery,DOT,1.0,12,0,11.784,25.395,no,11.784,clip_end,0,1,1,end_before_anchor,0.0,11.0,0.0,11.784,"clamped_start,clamped_end",12,,,,
20260420_202239,d014,real_delivery,DOT,0.667,6,0,11.954,13.277,no,11.954,clip_end,0,1,1,end_before_anchor,0.0,5.0,0.0,6.0,clamped_start,6,,,,
20260421_195050,d020,real_delivery,FOUR,0.591,11,0,21.992,25.371,no,21.992,clip_end,0,1,1,end_before_anchor,0.0,12.0,0.0,13.0,clamped_start,12,,,,
20260421_195050,d051,real_delivery,EXTRA,0.333,5,0,22.92,26.661,no,22.92,clip_end,0,1,1,end_before_anchor,0.0,4.0,0.0,5.0,clamped_start,5,,,,
