frame_path,source_clip,time_in_clip_s,label
output/frames/20260420_214218_d001_0.jpg,20260420_214218/d001,0.0,action
output/frames/20260420_214218_d001_1.jpg,20260420_214218/d001,1.0,action
output/frames/20260420_214218_d001_2.jpg,20260420_214218/d001,2.0,action
output/frames/20260420_214218_d001_3.jpg,20260420_214218/d001,3.0,action
output/frames/20260420_214218_d001_4.jpg,20260420_214218/d001,4.0,action
output/frames/20260420_214218_d001_5.jpg,20260420_214218/d001,5.0,action
output/frames/20260420_214218_d001_6.jpg,20260420_214218/d001,6.0,other
output/frames/20260420_214218_d001_7.jpg,20260420_214218/d001,7.0,other
output/frames/20260420_214218_d001_8.jpg,20260420_214218/d001,8.0,other
output/frames/20260420_214218_d001_9.jpg,20260420_214218/d001,9.0,other
output/frames/20260420_214218_d001_10.jpg,20260420_214218/d001,10.0,other
output/frames/20260420_214218_d001_11.jpg,20260420_214218/d001,11.0,other
output/frames/20260420_214218_d001_12.jpg,20260420_214218/d001,12.0,other
output/frames/20260420_214218_d001_13.jpg,20260420_214218/d001,13.0,other
output/frames/20260420_214218_d001_14.jpg,20260420_214218/d001,14.0,other
output/frames/20260420_214218_d001_15.jpg,20260420_214218/d001,15.0,other
output/frames/20260420_214218_d001_16.jpg,20260420_214218/d001,16.0,other
output/frames/20260420_214218_d001_17.jpg,20260420_214218/d001,17.0,other
output/frames/20260420_214218_d001_18.jpg,20260420_214218/d001,18.0,other
output/frames/20260420_214218_d001_19.jpg,20260420_214218/d001,19.0,replay
output/frames/20260420_214218_d002_0.jpg,20260420_214218/d002,0.0,other
output/frames/20260420_214218_d002_1.jpg,20260420_214218/d002,1.0,other
output/frames/20260420_214218_d002_2.jpg,20260420_214218/d002,2.0,other
output/frames/20260420_214218_d002_3.jpg,20260420_214218/d002,3.0,other
output/frames/20260420_214218_d002_4.jpg,20260420_214218/d002,4.0,other
output/frames/20260420_214218_d002_5.jpg,20260420_214218/d002,5.0,other
output/frames/20260420_214218_d002_6.jpg,20260420_214218/d002,6.0,other
output/frames/20260420_214218_d002_7.jpg,20260420_214218/d002,7.0,other
output/frames/20260420_214218_d002_8.jpg,20260420_214218/d002,8.0,other
output/frames/20260420_214218_d002_9.jpg,20260420_214218/d002,9.0,action
output/frames/20260420_214218_d002_10.jpg,20260420_214218/d002,10.0,action
output/frames/20260420_214218_d002_11.jpg,20260420_214218/d002,11.0,action
output/frames/20260420_214218_d002_12.jpg,20260420_214218/d002,12.0,action
output/frames/20260420_214218_d002_13.jpg,20260420_214218/d002,13.0,other
output/frames/20260420_214218_d002_14.jpg,20260420_214218/d002,14.0,umpire
output/frames/20260420_214218_d002_15.jpg,20260420_214218/d002,15.0,umpire
output/frames/20260420_214218_d002_16.jpg,20260420_214218/d002,16.0,other
output/frames/20260420_214218_d002_17.jpg,20260420_214218/d002,17.0,other
output/frames/20260420_214218_d002_18.jpg,20260420_214218/d002,18.0,other
output/frames/20260420_214218_d002_19.jpg,20260420_214218/d002,19.0,other
output/frames/20260420_214218_d002_20.jpg,20260420_214218/d002,20.0,other
output/frames/20260420_214218_d002_21.jpg,20260420_214218/d002,21.0,other
output/frames/20260420_214218_d002_22.jpg,20260420_214218/d002,22.0,other
output/frames/20260420_214218_d003_0.jpg,20260420_214218/d003,0.0,action
output/frames/20260420_214218_d003_1.jpg,20260420_214218/d003,1.0,action
output/frames/20260420_214218_d003_2.jpg,20260420_214218/d003,2.0,action
output/frames/20260420_214218_d003_3.jpg,20260420_214218/d003,3.0,action
output/frames/20260420_214218_d003_4.jpg,20260420_214218/d003,4.0,action
output/frames/20260420_214218_d003_5.jpg,20260420_214218/d003,5.0,action
output/frames/20260420_214218_d003_6.jpg,20260420_214218/d003,6.0,action
output/frames/20260420_214218_d003_7.jpg,20260420_214218/d003,7.0,action
output/frames/20260420_214218_d003_8.jpg,20260420_214218/d003,8.0,action
output/frames/20260420_214218_d003_9.jpg,20260420_214218/d003,9.0,action
output/frames/20260420_214218_d003_10.jpg,20260420_214218/d003,10.0,action
output/frames/20260420_214218_d003_11.jpg,20260420_214218/d003,11.0,action
output/frames/20260420_214218_d003_12.jpg,20260420_214218/d003,12.0,other
output/frames/20260420_214218_d003_13.jpg,20260420_214218/d003,13.0,other
output/frames/20260420_214218_d004_0.jpg,20260420_214218/d004,0.0,other
output/frames/20260420_214218_d004_1.jpg,20260420_214218/d004,1.0,other
output/frames/20260420_214218_d004_2.jpg,20260420_214218/d004,2.0,other
output/frames/20260420_214218_d004_3.jpg,20260420_214218/d004,3.0,other
output/frames/20260420_214218_d004_4.jpg,20260420_214218/d004,4.0,other
output/frames/20260420_214218_d004_5.jpg,20260420_214218/d004,5.0,other
output/frames/20260420_214218_d004_6.jpg,20260420_214218/d004,6.0,other
output/frames/20260420_214218_d004_7.jpg,20260420_214218/d004,7.0,other
output/frames/20260420_214218_d004_8.jpg,20260420_214218/d004,8.0,other
output/frames/20260420_214218_d004_9.jpg,20260420_214218/d004,9.0,action
output/frames/20260420_214218_d004_10.jpg,20260420_214218/d004,10.0,action
output/frames/20260420_214218_d004_11.jpg,20260420_214218/d004,11.0,action
output/frames/20260420_214218_d004_12.jpg,20260420_214218/d004,12.0,action
output/frames/20260420_214218_d004_13.jpg,20260420_214218/d004,13.0,action
output/frames/20260420_214218_d004_14.jpg,20260420_214218/d004,14.0,action
output/frames/20260420_214218_d004_15.jpg,20260420_214218/d004,15.0,action
output/frames/20260420_214218_d004_16.jpg,20260420_214218/d004,16.0,action
output/frames/20260420_214218_d004_17.jpg,20260420_214218/d004,17.0,action
output/frames/20260420_214218_d004_18.jpg,20260420_214218/d004,18.0,action
output/frames/20260420_214218_d004_19.jpg,20260420_214218/d004,19.0,other
output/frames/20260420_214218_d004_20.jpg,20260420_214218/d004,20.0,other
output/frames/20260420_214218_d004_21.jpg,20260420_214218/d004,21.0,umpire
output/frames/20260420_214218_d004_22.jpg,20260420_214218/d004,22.0,umpire
output/frames/20260420_214218_d004_23.jpg,20260420_214218/d004,23.0,umpire
output/frames/20260420_214218_d005_0.jpg,20260420_214218/d005,0.0,other
output/frames/20260420_214218_d005_1.jpg,20260420_214218/d005,1.0,other
output/frames/20260420_214218_d005_2.jpg,20260420_214218/d005,2.0,other
output/frames/20260420_214218_d005_3.jpg,20260420_214218/d005,3.0,other
output/frames/20260420_214218_d005_4.jpg,20260420_214218/d005,4.0,action
output/frames/20260420_214218_d005_5.jpg,20260420_214218/d005,5.0,action
output/frames/20260420_214218_d005_6.jpg,20260420_214218/d005,6.0,other
